intersection,time,eastStreet,eastLeft,eastThrough,eastRight,eastPeds,northStreet,northLeft,northThrough,northRight,northPeds,westStreet,westLeft,westThrough,westRight,westPeds,southStreet,southLeft,southThrough,southRight,southPeds,agency,id
TONOPAH & BONANZA,7,BONANZA,5,110,0,0,TONOPAH,0,0,0,0,BONANZA,0,83,6,0,TONOPAH,37,2,29,2,Las Vegas,502a0eb437044cc347000002
TONOPAH & BONANZA,7.15,BONANZA,0,141,3,1,TONOPAH,0,0,0,0,BONANZA,2,69,13,0,TONOPAH,41,0,19,1,Las Vegas,502a0eb437044cc347000003
TONOPAH & BONANZA,7.3,BONANZA,1,141,1,0,TONOPAH,0,0,1,0,BONANZA,0,94,10,1,TONOPAH,49,2,27,3,Las Vegas,502a0eb437044cc347000004
TONOPAH & BONANZA,7.45,BONANZA,4,155,2,1,TONOPAH,1,0,0,0,BONANZA,0,105,13,0,TONOPAH,67,1,33,1,Las Vegas,502a0eb437044cc347000005
TONOPAH & BONANZA,8,BONANZA,0,0,0,0,TONOPAH,0,0,0,0,BONANZA,0,0,0,0,TONOPAH,0,0,0,0,Las Vegas,502a0eb437044cc347000006
TONOPAH & BONANZA,8.15,BONANZA,0,0,0,0,TONOPAH,0,0,0,0,BONANZA,0,0,0,0,TONOPAH,0,0,0,0,Las Vegas,502a0eb437044cc347000007
TONOPAH & BONANZA,8.3,BONANZA,0,0,0,0,TONOPAH,0,0,0,0,BONANZA,0,0,0,0,TONOPAH,0,0,0,0,Las Vegas,502a0eb437044cc347000008
TONOPAH & BONANZA,8.45,BONANZA,0,0,0,0,TONOPAH,0,0,0,0,BONANZA,0,0,0,0,TONOPAH,0,0,0,0,Las Vegas,502a0eb437044cc347000009
TONOPAH & BONANZA,9,BONANZA,0,0,0,0,TONOPAH,0,0,0,0,BONANZA,0,0,0,0,TONOPAH,0,0,0,0,Las Vegas,502a0eb437044cc34700000a
TONOPAH & BONANZA,9.15,BONANZA,0,0,0,0,TONOPAH,0,0,0,0,BONANZA,0,0,0,0,TONOPAH,0,0,0,0,Las Vegas,502a0eb437044cc34700000b
TONOPAH & BONANZA,9.3,BONANZA,0,0,0,0,TONOPAH,0,0,0,0,BONANZA,0,0,0,0,TONOPAH,0,0,0,0,Las Vegas,502a0eb437044cc34700000c
TONOPAH & BONANZA,9.45,BONANZA,0,0,0,0,TONOPAH,0,0,0,0,BONANZA,0,0,0,0,TONOPAH,0,0,0,0,Las Vegas,502a0eb437044cc34700000d
TONOPAH & BONANZA,10,BONANZA,0,0,0,0,TONOPAH,0,0,0,0,BONANZA,0,0,0,0,TONOPAH,0,0,0,0,Las Vegas,502a0eb437044cc34700000e
TONOPAH & BONANZA,10.15,BONANZA,0,0,0,0,TONOPAH,0,0,0,0,BONANZA,0,0,0,0,TONOPAH,0,0,0,0,Las Vegas,502a0eb437044cc34700000f
TONOPAH & BONANZA,10.3,BONANZA,0,0,0,0,TONOPAH,0,0,0,0,BONANZA,0,0,0,0,TONOPAH,0,0,0,0,Las Vegas,502a0eb437044cc347000010
TONOPAH & BONANZA,10.45,BONANZA,0,0,0,0,TONOPAH,0,0,0,0,BONANZA,0,0,0,0,TONOPAH,0,0,0,0,Las Vegas,502a0eb437044cc347000011
TONOPAH & BONANZA,11,BONANZA,0,0,0,0,TONOPAH,0,0,0,0,BONANZA,0,0,0,0,TONOPAH,0,0,0,0,Las Vegas,502a0eb437044cc347000012